书名,作者,作者国别,出版时间,出版社,价格,评分,评价人数,封面URL,封面路径
别了，母亲：守墓女儿的决断,信田小夜子,日,2025-4,新星出版社,52.00元,8.4,14,https://img1.doubanio.com/view/subject/s/public/s35124589.jpg,covers/s35124589.jpg
中镇：当代美国文化研究,罗伯特·S·林德 / 海伦·梅里尔·林德,美 / 美,2025-3,商务印书馆,98.00,0.0,3,https://img1.doubanio.com/view/subject/s/public/s35124420.jpg,covers/s35124420.jpg
合成的心,克洛埃·德洛姆,法,2025-4,上海译文出版社,66.00元,8.0,27,https://img9.doubanio.com/view/subject/s/public/s35132934.jpg,covers/s35132934.jpg
健康的迷思：压力文化中的心理创伤、疾病和疗愈,加博尔·马泰（Gabor Maté） / 丹尼尔·马泰（Daniel Maté）,加 / 加,2025-4,机械工业出版社,89.00元,0.0,3,https://img3.doubanio.com/view/subject/s/public/s35128797.jpg,covers/s35128797.jpg
大女主：唤醒女性内在的力量,艾明雅,中国,2025-4,湖南文艺出版社,58.00,0.0,6,https://img9.doubanio.com/view/subject/s/public/s35119934.jpg,covers/s35119934.jpg
何为科学：科学是什么，科学不是什么,亚当·弗兰克 / 埃文·汤普森 / 马塞洛·格雷斯,美 / 加 / 美,2025-4,中信出版社,88.00,0.0,7,https://img1.doubanio.com/view/subject/s/public/s35131709.jpg,covers/s35131709.jpg
还能做家人吗？,内田也哉子 / 中野信子,日 / 日,2025-4,广西师范大学出版社,59.00,7.3,42,https://img1.doubanio.com/view/subject/s/public/s35125629.jpg,covers/s35125629.jpg
小说与重复：七部英国小说,J.希利斯·米勒,美,2025-4,北京联合出版公司,68.00元,9.2,12,https://img9.doubanio.com/view/subject/s/public/s35118696.jpg,covers/s35118696.jpg
阿西莫夫科幻短篇全集 2：双百人,艾萨克·阿西莫夫,美,2025-4,江苏凤凰文艺出版社,119,8.2,45,https://img9.doubanio.com/view/subject/s/public/s35114755.jpg,covers/s35114755.jpg
赵宋：如是我见,赵冬梅,中国,2025-3,山西人民出版社,68.00,8.2,19,https://img9.doubanio.com/view/subject/s/public/s35126066.jpg,covers/s35126066.jpg
经典秩序的重构：廖平的世界观与经学之路,魏綵莹,中国,2025-3,四川人民出版社,89元,0.0,24,https://img2.doubanio.com/view/subject/s/public/s35081831.jpg,covers/s35081831.jpg
印象·派对：POLA美术馆藏印象派艺术精粹,上海博物馆 编 / 褚晓波 主编,中国 / 中国,2025-3,上海书画出版社,240.00元,0.0,15,https://img9.doubanio.com/view/subject/s/public/s35066345.jpg,covers/s35066345.jpg
